Step,Training Loss
456,0.042300
457,0.039000
458,0.049200
459,0.015700
460,0.029600
461,0.034700
462,0.021100
463,0.051500
464,0.041300
465,0.061100
466,0.073500
467,0.026300
468,0.019500
469,0.041200
470,0.057800
471,0.055000
472,0.115900
473,0.062400
474,0.037200
475,0.071400
476,0.081500
